Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
he can,ConfidenceHedged,5692,4075,32.00,9.54
stand,ExpertVocabulary,5682,4177,31.94,9.78
vision,ExpertVocabulary,5680,3000,31.93,7.02
labor,ExpertVocabulary,5678,2609,31.92,6.11
researchers,CharacterTypes,5673,2463,31.89,5.77
board,ExpertVocabulary,5662,3405,31.83,7.97
it may,ConfidenceHedged,5650,4430,31.76,10.37
19,InformationQuantities,5636,3522,31.68,8.24
that can,ConfidenceHedged,5630,4538,31.65,10.62
straight,ExpertVocabulary,5628,3969,31.64,9.29
degree,ExpertVocabulary,5622,3168,31.61,7.42
function,ExpertVocabulary,5620,2820,31.59,6.60
writer,CharacterTypes,5612,3518,31.55,8.24
make sure,ConfidenceHigh,5612,4286,31.55,10.03
suppose,Reasoning,5610,3878,31.54,9.08
21,InformationQuantities,5593,3542,31.44,8.29
theory,ExpertVocabulary,5581,2956,31.38,6.92
", but that",ReaderDirectedMetadiscourse,5577,4552,31.35,10.66
off .,ExpertVocabulary,5576,4153,31.35,9.72
amount of,ExpertVocabulary,5561,3934,31.26,9.21
200,InformationQuantities,5552,3978,31.21,9.31
medicine,ExpertVocabulary,5552,2723,31.21,6.37
literally,ReaderDirectedMetadiscourse,5541,4167,31.15,9.75
internal,ExpertVocabulary,5525,3086,31.06,7.22
primary,ExpertVocabulary,5523,3300,31.05,7.72
audience,ExpertVocabulary,5512,3342,30.99,7.82
urban,ExpertVocabulary,5488,2297,30.85,5.38
levels of,ExpertVocabulary,5462,2685,30.71,6.29
ii,ExpertVocabulary,5456,2427,30.67,5.68
ladies,CharacterTypes,5435,3016,30.55,7.06
result,Reasoning,5426,3917,30.50,9.17
possibly,ConfidenceHedged,5417,4315,30.45,10.10
formula,ExpertVocabulary,5415,1340,30.44,3.14
host,CharacterTypes,5403,3294,30.37,7.71
obvious,ConfidenceHigh,5401,4180,30.36,9.78
brothers,CharacterTypes,5396,3207,30.34,7.51
crew,CharacterTypes,5392,2552,30.31,5.97
connection,ExpertVocabulary,5376,3593,30.22,8.41
magic,ExpertVocabulary,5376,2646,30.22,6.19
liberal,ExpertVocabulary,5375,2502,30.22,5.86
22,InformationQuantities,5370,3417,30.19,8.00
subjects,ExpertVocabulary,5369,2330,30.18,5.45
likely,ConfidenceHedged,5353,3973,30.09,9.30
sexual,ExpertVocabulary,5351,2007,30.08,4.70
500,InformationQuantities,5341,3547,30.03,8.30
main,ExpertVocabulary,5324,3859,29.93,9.03
and so,Reasoning,5324,4141,29.93,9.69
it's like,InformationComparison,5318,3829,29.90,8.96
we want,ReaderDirectedMetadiscourseFP,5316,3714,29.89,8.69
women's,CharacterTypes,5303,2101,29.81,4.92
generation,ExpertVocabulary,5297,2950,29.78,6.91
muslim,CharacterTypes,5295,1456,29.77,3.41
effects,Reasoning,5286,2471,29.72,5.78
", those",ReaderDirectedMetadiscourse,5284,4354,29.71,10.19
or so,ReaderDirectedMetadiscourse,5281,4196,29.69,9.82
cash,ExpertVocabulary,5277,3196,29.67,7.48
on the other hand,ReaderDirectedMetadiscourse,5270,4068,29.63,9.52
largely,ConfidenceHedged,5264,3775,29.59,8.84
the guy,CharacterTypes,5262,3468,29.58,8.12
nuclear,ExpertVocabulary,5259,1528,29.56,3.58
mentioned,CitationNeutral,5257,3947,29.55,9.24
like that,InformationComparison,5255,4146,29.54,9.71
less than,InformationComparison,5244,3830,29.48,8.97
residents,CharacterTypes,5232,2472,29.41,5.79
they could,ConfidenceHedged,5212,4111,29.30,9.62
claims,CitationControversy,5210,3005,29.29,7.03
secret,ExpertVocabulary,5205,3587,29.26,8.40
collection,ExpertVocabulary,5204,2431,29.26,5.69
is more,InformationComparison,5177,4191,29.10,9.81
highest,InformationComparison,5148,3626,28.94,8.49
lawyers,CharacterTypes,5137,2350,28.88,5.50
mama,CharacterTypes,5137,1535,28.88,3.59
realized,ConfidenceHigh,5131,3849,28.85,9.01
", that is",ReaderDirectedMetadiscourse,5127,3949,28.82,9.24
positions,ExpertVocabulary,5126,3221,28.82,7.54
somewhat,ConfidenceHedged,5095,3940,28.64,9.22
fact,ExpertVocabulary,5075,3852,28.53,9.02
piece,ExpertVocabulary,5074,3218,28.52,7.53
ray,ExpertVocabulary,5069,1423,28.50,3.33
famous,CharacterTypes,5063,3631,28.46,8.50
matters,ExpertVocabulary,5058,3826,28.43,8.96
. such,Reasoning,5037,3517,28.32,8.23
path,ExpertVocabulary,5028,3376,28.27,7.90
looks like,InformationComparison,5019,3698,28.22,8.66
arab,CharacterTypes,5015,1128,28.19,2.64
clients,CharacterTypes,5005,2264,28.14,5.30
however,ReaderDirectedMetadiscourse,4996,3676,28.09,8.60
the woman,CharacterTypes,4983,2870,28.01,6.72
tall,CharacterTypes,4976,3382,27.97,7.92
according to the,CitationNeutral,4967,3681,27.92,8.62
artists,CharacterTypes,4949,1965,27.82,4.60
narrative,ExpertVocabulary,4948,1854,27.82,4.34
author,ExpertVocabulary,4945,3023,27.80,7.08
systems,ExpertVocabulary,4940,2533,27.77,5.93
impossible,ConfidenceLow,4937,3744,27.75,8.76
are more,InformationComparison,4922,3644,27.67,8.53
someone who,CharacterTypes,4919,3728,27.65,8.73
children's,CharacterTypes,4918,2183,27.65,5.11
measure,ExpertVocabulary,4899,2744,27.54,6.42
trip,ExpertVocabulary,4895,3150,27.52,7.37
kinds of,ExpertVocabulary,4894,3635,27.51,8.51
that's it,ReaderDirectedMetadiscourse,4879,3165,27.43,7.41
test,ExpertVocabulary,4864,2838,27.34,6.64
specifically,ReaderDirectedMetadiscourse,4862,3601,27.33,8.43
attitude,ExpertVocabulary,4859,3254,27.32,7.62
know the,ConfidenceHigh,4856,4015,27.30,9.40
indian,CharacterTypes,4842,1620,27.22,3.79
", and so",Reasoning,4842,3724,27.22,8.72
revolution,ExpertVocabulary,4836,2285,27.19,5.35
", even though",Reasoning,4832,3985,27.16,9.33
domestic,ExpertVocabulary,4817,2571,27.08,6.02
shape,ExpertVocabulary,4797,3328,26.97,7.79
. in addition,ReaderDirectedMetadiscourse,4797,2811,26.97,6.58
23,InformationQuantities,4791,3132,26.93,7.33
front,ExpertVocabulary,4788,3432,26.92,8.03
cancer,ExpertVocabulary,4762,1873,26.77,4.38
in particular,Reasoning,4757,3550,26.74,8.31
firm,ExpertVocabulary,4748,3018,26.69,7.06
alcohol,ExpertVocabulary,4744,1996,26.67,4.67
she could,ConfidenceHedged,4723,2721,26.55,6.37
statements,ExpertVocabulary,4720,2781,26.53,6.51
claim,CitationControversy,4712,2955,26.49,6.92
it might,ConfidenceHedged,4702,3919,26.43,9.17
narrator,ExpertVocabulary,4675,603,26.28,1.41
"too ,",ReaderDirectedMetadiscourse,4673,3691,26.27,8.64
god's,ExpertVocabulary,4665,2279,26.23,5.33
persons,CharacterTypes,4660,1984,26.20,4.64
presence,ExpertVocabulary,4653,3317,26.16,7.76
bitch,CharacterTypes,4649,2153,26.14,5.04
", but also",ReaderDirectedMetadiscourse,4642,3650,26.10,8.54
studies,ExpertVocabulary,4635,2400,26.06,5.62
israeli,CharacterTypes,4631,975,26.03,2.28
the word,ExpertVocabulary,4617,3327,25.96,7.79
soldiers,CharacterTypes,4607,2105,25.90,4.93
"actually ,",ConfidenceHigh,4574,3523,25.71,8.25
i know that,ConfidenceHigh,4573,3512,25.71,8.22
writers,CharacterTypes,4563,2391,25.65,5.60
politicians,CharacterTypes,4556,2769,25.61,6.48
articles,ExpertVocabulary,4554,2479,25.60,5.80
distribution,ExpertVocabulary,4550,2109,25.58,4.94
object,ExpertVocabulary,4538,2111,25.51,4.94
goals,PurposePlan,4534,2306,25.49,5.40
related to,ReaderDirectedMetadiscourse,4528,2702,25.46,6.32
source of,ExpertVocabulary,4525,3352,25.44,7.85
charge,ExpertVocabulary,4520,3070,25.41,7.19
in general,ConfidenceHigh,4515,3339,25.38,7.82
clinical,ExpertVocabulary,4509,1347,25.35,3.15
this study,PurposePlan,4507,1422,25.34,3.33
it is the,ConfidenceHigh,4505,3473,25.33,8.13
manner,ExpertVocabulary,4503,3332,25.31,7.80
alternative,ExpertVocabulary,4495,2958,25.27,6.92
arts,ExpertVocabulary,4484,1746,25.21,4.09
includes,Reasoning,4472,3459,25.14,8.10
officers,CharacterTypes,4458,1938,25.06,4.54
web,ExpertVocabulary,4453,1767,25.03,4.14
found that,CitationAuthority,4451,2849,25.02,6.67
objects,ExpertVocabulary,4439,1926,24.96,4.51
consumers,CharacterTypes,4430,1889,24.90,4.42
man's,CharacterTypes,4425,3045,24.88,7.13
all these,Reasoning,4421,3620,24.85,8.47
goal,PurposePlan,4406,2937,24.77,6.88
curriculum,ExpertVocabulary,4405,1275,24.76,2.98
queen,CharacterTypes,4403,1943,24.75,4.55
latter,ExpertVocabulary,4402,3132,24.75,7.33
says that,CitationNeutral,4396,3328,24.71,7.79
mother's,CharacterTypes,4392,2607,24.69,6.10
assistant,CharacterTypes,4389,2717,24.67,6.36
"but ,",ReaderDirectedMetadiscourse,4384,3475,24.65,8.13
faculty,ExpertVocabulary,4367,1282,24.55,3.00
see that,CitationAuthority,4358,3583,24.50,8.39
vice president,CharacterTypes,4353,2256,24.47,5.28
period,ExpertVocabulary,4347,2911,24.44,6.81
ma,CharacterTypes,4345,1590,24.43,3.72
behaviors,ExpertVocabulary,4342,1296,24.41,3.03
master,CharacterTypes,4338,2176,24.39,5.09
that could,ConfidenceHedged,4337,3706,24.38,8.68
situations,ExpertVocabulary,4332,2850,24.35,6.67
to create,PurposePlan,4327,3386,24.33,7.93
similar to,ReaderDirectedMetadiscourse,4323,3219,24.30,7.54
", also",ReaderDirectedMetadiscourse,4316,3650,24.26,8.54
"unfortunately ,",PurposePlan,4307,3582,24.21,8.38
degrees,ExpertVocabulary,4306,2494,24.21,5.84
republican,CharacterTypes,4298,2225,24.16,5.21
charges,ExpertVocabulary,4297,2702,24.16,6.32
agents,CharacterTypes,4295,2170,24.15,5.08
. though,ReaderDirectedMetadiscourse,4289,3137,24.11,7.34
realize,ConfidenceHigh,4284,3596,24.08,8.42
equal,InformationComparison,4279,2771,24.06,6.49
approximately,ConfidenceHedged,4279,2625,24.06,6.14
in other words,ReaderDirectedMetadiscourse,4275,3099,24.03,7.25
to protect,PurposePlan,4270,3297,24.01,7.72
is about,ReaderDirectedMetadiscourse,4269,3442,24.00,8.06
spanish,CharacterTypes,4259,1842,23.94,4.31
ma'am,CharacterTypes,4258,1760,23.94,4.12
silver,ExpertVocabulary,4251,2239,23.90,5.24
these are,ReaderDirectedMetadiscourse,4250,3574,23.89,8.37
capacity,ExpertVocabulary,4237,2405,23.82,5.63
seems to be,ConfidenceHedged,4237,3420,23.82,8.01
potentially,ConfidenceHedged,4236,3138,23.81,7.35
35,InformationQuantities,4235,2950,23.81,6.91
than a,InformationComparison,4221,3584,23.73,8.39
we see,ReaderDirectedMetadiscourseFP,4217,2435,23.71,5.70
look like,InformationComparison,4211,3440,23.67,8.05
even though,Reasoning,4205,3550,23.64,8.31
count,ExpertVocabulary,4193,2979,23.57,6.97
adam,CharacterTypes,4193,1498,23.57,3.51
units,ExpertVocabulary,4186,2030,23.53,4.75
user,ExpertVocabulary,4179,1391,23.49,3.26
christians,CharacterTypes,4170,1332,23.44,3.12
athletes,CharacterTypes,4168,917,23.43,2.15
28,InformationQuantities,4167,2745,23.43,6.43
visual,ExpertVocabulary,4166,1902,23.42,4.45
with all,Reasoning,4164,3621,23.41,8.48
factor,ExpertVocabulary,4163,2327,23.40,5.45
forms,ExpertVocabulary,4161,2548,23.39,5.96
ted,CharacterTypes,4161,1395,23.39,3.27
surely,ConfidenceHigh,4159,3107,23.38,7.27
relevant,ExpertVocabulary,4156,2574,23.36,6.03
numerous,ExpertVocabulary,4150,3138,23.33,7.35
because it's,Reasoning,4146,3355,23.31,7.85
dna,ExpertVocabulary,4141,1325,23.28,3.10
26,InformationQuantities,4140,2674,23.27,6.26
basis,ExpertVocabulary,4138,3082,23.26,7.21
broad,ExpertVocabulary,4135,3049,23.25,7.14
notion,ExpertVocabulary,4131,2717,23.22,6.36
method,ExpertVocabulary,4124,2082,23.18,4.87
300,InformationQuantities,4122,3047,23.17,7.13
45,InformationQuantities,4122,2913,23.17,6.82
interaction,ExpertVocabulary,4119,1867,23.16,4.37
interpretation,ExpertVocabulary,4114,2019,23.13,4.73
the work,ExpertVocabulary,4109,3019,23.10,7.07
arguments,ExpertVocabulary,4102,2421,23.06,5.67
formal,ExpertVocabulary,4097,2504,23.03,5.86
babies,CharacterTypes,4093,2232,23.01,5.22
"more ,",ReaderDirectedMetadiscourse,4092,3485,23.00,8.16
majority,ExpertVocabulary,4085,2415,22.96,5.65
detective,CharacterTypes,4083,1314,22.95,3.08
stronger,InformationComparison,4081,3198,22.94,7.49
it's an,ConfidenceHigh,4068,3397,22.87,7.95
27,InformationQuantities,4062,2735,22.84,6.40
client,CharacterTypes,4057,1750,22.81,4.10
category,Reasoning,4049,2312,22.76,5.41
long-term,ExpertVocabulary,4041,2605,22.72,6.10
limited,ExpertVocabulary,4040,2967,22.71,6.95
protein,ExpertVocabulary,4012,942,22.55,2.21
rural,ExpertVocabulary,4012,1804,22.55,4.22
gene,ExpertVocabulary,4009,1076,22.54,2.52
temperature,ExpertVocabulary,4006,1734,22.52,4.06
just because,Reasoning,3995,3115,22.46,7.29
racial,CharacterTypes,3976,1526,22.35,3.57
statistics,ExpertVocabulary,3974,2280,22.34,5.34
medium,ExpertVocabulary,3965,1982,22.29,4.64
attorney,CharacterTypes,3962,2156,22.27,5.05
he says,CitationNeutral,3960,2843,22.26,6.65
"moreover ,",ReaderDirectedMetadiscourse,3959,2311,22.26,5.41
solid,ExpertVocabulary,3958,3014,22.25,7.06
categories,Reasoning,3948,2071,22.19,4.85
aspects of,ExpertVocabulary,3946,2688,22.18,6.29
aunt,CharacterTypes,3942,1353,22.16,3.17
roles,ExpertVocabulary,3935,2227,22.12,5.21
courses,ExpertVocabulary,3933,1496,22.11,3.50
it can,ConfidenceHedged,3931,3265,22.10,7.64
as much,InformationComparison,3922,3391,22.05,7.94
minority,CharacterTypes,3916,2095,22.01,4.90
mothers,CharacterTypes,3903,1955,21.94,4.58
thousand,InformationQuantities,3887,2984,21.85,6.99
balance,ExpertVocabulary,3884,2746,21.83,6.43
to all,Reasoning,3867,3252,21.74,7.61
principal,CharacterTypes,3866,2209,21.73,5.17
principles,ExpertVocabulary,3863,2201,21.72,5.15
90,InformationQuantities,3863,2853,21.72,6.68
philosophy,ExpertVocabulary,3859,1992,21.69,4.66
fewer,InformationComparison,3858,2770,21.69,6.48
parent,CharacterTypes,3857,1864,21.68,4.36
to support,PurposePlan,3855,2973,21.67,6.96
facts,ExpertVocabulary,3853,2455,21.66,5.75
grade,ExpertVocabulary,3846,1686,21.62,3.95
owner,CharacterTypes,3842,2441,21.60,5.71
the boy,CharacterTypes,3841,1610,21.59,3.77
sentence,ExpertVocabulary,3840,2404,21.59,5.63
weather,ExpertVocabulary,3836,2467,21.57,5.77
discuss,CitationNeutral,3835,3076,21.56,7.20
convention,ExpertVocabulary,3833,1522,21.55,3.56
stock,ExpertVocabulary,3822,1934,21.49,4.53
ed .,ExpertVocabulary,3822,1154,21.49,2.70
80,InformationQuantities,3819,2883,21.47,6.75
zero,InformationQuantities,3817,2335,21.46,5.47
knew that,ConfidenceHigh,3812,2907,21.43,6.80
iraqi,CharacterTypes,3810,882,21.42,2.06
got it .,ConfidenceHigh,3807,2357,21.40,5.52
driver,CharacterTypes,3806,2148,21.40,5.03
outcomes,Reasoning,3804,1448,21.39,3.39
immigrants,CharacterTypes,3803,1286,21.38,3.01
equally,ReaderDirectedMetadiscourse,3800,2948,21.36,6.90
a child,CharacterTypes,3795,2657,21.33,6.22
application,ExpertVocabulary,3793,1830,21.32,4.28
based on the,Reasoning,3787,2814,21.29,6.59
29,InformationQuantities,3782,2432,21.26,5.69
miller,CharacterTypes,3763,1643,21.15,3.85
blacks,CharacterTypes,3758,1305,21.13,3.05
relationship between,InformationComparison,3752,2193,21.09,5.13
quarter,ExpertVocabulary,3752,2499,21.09,5.85
personnel,CharacterTypes,3746,2169,21.06,5.08
related,ExpertVocabulary,3742,2728,21.04,6.39
consumer,CharacterTypes,3740,1846,21.03,4.32
girlfriend,CharacterTypes,3737,2303,21.01,5.39
", who is",ReaderDirectedMetadiscourse,3735,3046,21.00,7.13
mr,CharacterTypes,3735,1054,21.00,2.47
technical,ExpertVocabulary,3734,2187,20.99,5.12
fact that,ConfidenceHigh,3733,3098,20.99,7.25
all those,Reasoning,3732,3113,20.98,7.29
methods,ExpertVocabulary,3730,2101,20.97,4.92
males,CharacterTypes,3727,1303,20.95,3.05
young man,CharacterTypes,3714,2362,20.88,5.53
jr .,CharacterTypes,3708,2015,20.85,4.72
furthermore,ReaderDirectedMetadiscourse,3691,2205,20.75,5.16
the children,CharacterTypes,3688,2032,20.73,4.76
genes,ExpertVocabulary,3683,818,20.71,1.91
mode,ExpertVocabulary,3679,1919,20.68,4.49
regulations,ExpertVocabulary,3678,1832,20.68,4.29
components,ExpertVocabulary,3678,1934,20.68,4.53
as much as,InformationComparison,3675,3198,20.66,7.49
"meanwhile ,",ReaderDirectedMetadiscourse,3668,2868,20.62,6.71
islamic,CharacterTypes,3661,1113,20.58,2.61
commander,CharacterTypes,3657,1377,20.56,3.22
it's very,ConfidenceHigh,3655,2919,20.55,6.83
the kids,CharacterTypes,3655,2310,20.55,5.41
solutions,ExpertVocabulary,3623,2214,20.37,5.18
owners,CharacterTypes,3621,2012,20.36,4.71
sons,CharacterTypes,3615,2298,20.32,5.38
authors,ExpertVocabulary,3601,1645,20.24,3.85
concepts,ExpertVocabulary,3592,1830,20.19,4.28
", like a",ReaderDirectedMetadiscourse,3591,2749,20.19,6.43
not sure,ConfidenceHedged,3590,2902,20.18,6.79
technologies,ExpertVocabulary,3587,1536,20.17,3.60
italian,CharacterTypes,3585,1812,20.15,4.24
employee,CharacterTypes,3574,1843,20.09,4.31
out to,PurposePlan,3569,3017,20.06,7.06
in the same,InformationComparison,3560,3000,20.01,7.02
affect,Reasoning,3553,2355,19.97,5.51
human rights,Reasoning,3547,1166,19.94,2.73
mexican,CharacterTypes,3545,1344,19.93,3.15
regulation,ExpertVocabulary,3543,1485,19.92,3.48
cops,CharacterTypes,3543,1650,19.92,3.86
actor,CharacterTypes,3536,1802,19.88,4.22
industrial,ExpertVocabulary,3534,1960,19.87,4.59
psychological,ExpertVocabulary,3522,1749,19.80,4.09
platform,ExpertVocabulary,3521,1940,19.79,4.54
31,InformationQuantities,3517,2354,19.77,5.51
diet,ExpertVocabulary,3516,1496,19.77,3.50
a guy,CharacterTypes,3512,2600,19.74,6.09
nevertheless,ReaderDirectedMetadiscourse,3500,2487,19.68,5.82
the girl,CharacterTypes,3495,1969,19.65,4.61
item,ExpertVocabulary,3494,1869,19.64,4.38
bones,ExpertVocabulary,3491,1984,19.63,4.64
sisters,CharacterTypes,3490,2123,19.62,4.97
70,InformationQuantities,3487,2668,19.60,6.25
some other,ReaderDirectedMetadiscourse,3481,2982,19.57,6.98
structures,ExpertVocabulary,3480,1877,19.56,4.39
logic,ExpertVocabulary,3474,2094,19.53,4.90
editor,CharacterTypes,3474,2088,19.53,4.89
discussed,CitationNeutral,3463,2547,19.47,5.96
topic,ExpertVocabulary,3462,2431,19.46,5.69
applications,ExpertVocabulary,3455,1581,19.42,3.70
more about,ReaderDirectedMetadiscourse,3452,2943,19.41,6.89
muslims,CharacterTypes,3451,987,19.40,2.31
; but,Reasoning,3447,1975,19.38,4.62
", like the",ReaderDirectedMetadiscourse,3446,2946,19.37,6.90
revenue,ExpertVocabulary,3446,1703,19.37,3.99
a person,CharacterTypes,3445,2600,19.37,6.09
reaction,Reasoning,3439,2504,19.33,5.86
firms,ExpertVocabulary,3421,1258,19.23,2.94
might not,ConfidenceHedged,3418,2943,19.22,6.89
"after all ,",Reasoning,3415,2898,19.20,6.78
as in,InformationComparison,3413,2596,19.19,6.08
lieutenant,CharacterTypes,3408,971,19.16,2.27
attitudes,ExpertVocabulary,3407,1650,19.15,3.86
i find,ReaderDirectedMetadiscourseFP,3406,2676,19.15,6.26
students ',CharacterTypes,3405,1011,19.14,2.37
twenty,InformationQuantities,3390,2429,19.06,5.69
executive,CharacterTypes,3384,2130,19.02,4.99
que,ExpertVocabulary,3384,367,19.02,0.86
something else,ReaderDirectedMetadiscourse,3383,2821,19.02,6.60
females,CharacterTypes,3382,1117,19.01,2.61
seem to be,ConfidenceHedged,3381,2842,19.01,6.65
outcome,Reasoning,3379,2075,19.00,4.86
the study,ExpertVocabulary,3375,1580,18.97,3.70
more than a,InformationComparison,3361,2971,18.89,6.95
he asked,MethodsResultsDiscussion,3359,2275,18.88,5.33
no doubt,ConfidenceHigh,3357,2766,18.87,6.47
more likely,ConfidenceHedged,3357,2230,18.87,5.22
percentage of,ExpertVocabulary,3354,2057,18.86,4.82
tech,ExpertVocabulary,3354,1510,18.86,3.53
reporter,CharacterTypes,3349,2052,18.83,4.80
the kind of,ExpertVocabulary,3339,2816,18.77,6.59
actors,CharacterTypes,3339,1678,18.77,3.93
", then ,",ReaderDirectedMetadiscourse,3339,2466,18.77,5.77
conclusion,Reasoning,3338,2495,18.77,5.84
likely to,ConfidenceHedged,3332,2487,18.73,5.82
